fold,Logistic Regression,XGBoost,TensorFlow NN,PyTorch NN
0,0.7429756251387986,0.7866736457731243,0.7776132010479246,0.7837717625487166
1,0.7302768734400805,0.7827928215235395,0.7799731268118243,0.7789758362982511
2,0.7102711098616641,0.7696634251576167,0.7671776300608903,0.7645704169223498
3,0.720238976904374,0.7876931227007403,0.7793058313911485,0.783202670390825
4,0.7341161522269882,0.7874414699543246,0.7793206937655615,0.7773766196209542
