seed,framework,test_auc,epochs,final_val_loss,train_seconds
1,TensorFlow,0.7720124475272094,46,0.5346558690071106,23.276619136000022
1,PyTorch,0.7745321735551811,41,0.5763381719589233,15.666289482000025
2,TensorFlow,0.772214186871913,50,0.5303670763969421,24.66702090399997
2,PyTorch,0.7730693617279983,50,0.5754286050796509,19.858469173000003
3,TensorFlow,0.773672967137451,43,0.5701087117195129,21.41786795400003
3,PyTorch,0.7726486279547518,26,0.5778130292892456,9.956471248999947
4,TensorFlow,0.7685153096940835,26,0.5592114329338074,13.330409403999965
4,PyTorch,0.7708391018261199,33,0.5767501592636108,12.61526303900007
5,TensorFlow,0.7720848543743491,50,0.5144354104995728,24.029398379999975
5,PyTorch,0.7738439053511885,50,0.5745862126350403,19.314839782000035
6,TensorFlow,0.7717134669156345,38,0.5613380074501038,19.87326094299999
6,PyTorch,0.7735976575659269,40,0.5777995586395264,16.269461444999934
7,TensorFlow,0.7698173428428735,42,0.5390798449516296,20.015912027000013
7,PyTorch,0.7755633663926764,45,0.5765292644500732,17.09537491399999
8,TensorFlow,0.769884669922341,37,0.54191654920578,18.712070659000005
8,PyTorch,0.7735124303527569,43,0.5750657320022583,16.80898250300004
9,TensorFlow,0.7690842436733913,50,0.5434384942054749,24.73654310300003
9,PyTorch,0.7719193184532155,43,0.5753262042999268,17.07523779500002
10,TensorFlow,0.7715747811950548,33,0.5402840971946716,16.523173485000143
10,PyTorch,0.7723652898023583,48,0.5770407319068909,18.745279654999877
